; Tables of coefficients needed for type 5 flow in culverts.
; Also includes tables for defining the discharge coefficients based
; on rounding/beveling, wingwalls, and projecting entrances. 
TABLE#= 9980
TYPE=  -10
LABEL= Table 6--Cd for culvert in vertical headwall.
  0.08 1.000 1.080 1.149 1.232  
  0.09 1.000 1.085 1.150 1.233 
  0.10 1.000 1.087 1.150 1.233 
  0.50 1.000 1.087 1.150 1.233
  -1.0
TABLE#= 9991
TYPE=   -2
REFL=0.0
WingWangle    Ktheta Cd var. with WWangle. Fig. 24. Types 1, 2, &3
       0.0      1.00
      10.0     1.008
      20.0     1.030
      30.0     1.064
      40.0     1.110
      50.0     1.160
      60.0     1.212
      70.0     1.160
      80.0     1.110
      90.0     1.060
      -1.0
TABLE#= 9992
TYPE=   -2
REFL=0.0
      Lp/D       Kl  Table for projecting inlet adjustment.
      0.00      1.00
      0.01      0.99
      0.02      0.98
      0.03      0.98
      0.04      0.97
      0.05      0.96
      0.06      0.95
      0.07      0.94
      0.08      0.94
      0.09      0.93
      0.10      0.92
      0.20      0.92
      0.30      0.92
      0.40      0.91
      0.50      0.91
      0.60      0.91
      0.70      0.91
      0.80      0.90
      0.90      0.90
      1.00      0.90
  10000.00      0.90
      -1.0
TABLE#=10001
TYPE=  -10 '(10A8)' '(1X,10A8)' '(F8.0)' '(10F8.0)' '(1X,F8.3,9F8.3)'
LABEL= Ratios for lin spline interp of power functions
   POWER   0.001   0.003   0.005    0.01    0.02    0.03    0.05   0.075     0.1
    0.05   1.508   2.042   2.519   3.727   6.595   10.41   22.41   51.61   111.7
     0.1   1.348   1.678   1.953   2.587   3.878   5.335       9   15.62   25.63
     0.2   1.251   1.474   1.651   2.036   2.748   3.475   5.083   7.534   10.66
     0.3   1.216   1.403   1.549   1.859   2.413   2.957   4.108   5.764    7.75
     0.4     1.2   1.372   1.505   1.786   2.279   2.754   3.741   5.129   6.746
     0.5   1.196   1.364   1.493   1.765   2.241   2.697   3.641   4.956   6.479
     0.6     1.2   1.372   1.505   1.786   2.279   2.754   3.741   5.129   6.746
     0.7   1.216   1.403   1.549   1.859   2.413   2.957   4.108   5.764    7.75
     0.8   1.251   1.474   1.651   2.036   2.748   3.475   5.083   7.534   10.66
     0.9   1.348   1.678   1.953   2.587   3.878   5.335       9   15.62   25.63
    0.95   1.508   2.042   2.519   3.727   6.595   10.41   22.41   51.61   111.7
    -1.0
TABLE#=10002
TYPE=  -10 '(10A8)' '(1X,10A8)' '(F8.0)' '(10F8.0)' '(1X,F8.3,9F8.3)'
LABEL= Ratios for lin spline interp of power functions
   POWER   0.001   0.003   0.005    0.01    0.02    0.03    0.05   0.075     0.1
    1.05   1.478    1.97   2.403   3.474   5.907    8.96   17.75   36.32   68.34
     1.1    1.31   1.596   1.829   2.352   3.365    4.44   6.935   10.88   16.04
     1.2     1.2   1.372   1.504   1.782   2.264   2.721   3.645    4.88   6.245
     1.3   1.154   1.282   1.377   1.573   1.897   2.189   2.746    3.44   4.159
     1.4   1.127    1.23   1.306   1.459   1.705   1.922   2.319   2.795   3.268
     1.5   1.109   1.196    1.26   1.386   1.585   1.757   2.067   2.427   2.775
     1.6   1.096   1.171   1.226   1.334   1.503   1.645   1.899   2.188   2.462
     1.7   1.085   1.152   1.201   1.296   1.441   1.564   1.778   2.019   2.245
     1.8   1.077   1.138   1.181   1.265   1.394   1.501   1.687   1.893   2.084
     1.9   1.071   1.126   1.165   1.241   1.356   1.452   1.616   1.796   1.961
       2   1.065   1.116   1.152   1.221   1.326   1.412   1.558   1.718   1.863
    2.25   1.055   1.097   1.127   1.183   1.268   1.337   1.453   1.578   1.689
     2.5   1.047   1.083   1.109   1.157   1.229   1.286   1.382   1.484   1.574
    2.75   1.042   1.073   1.095   1.137   1.199   1.249   1.331   1.417   1.493
       3   1.037   1.065   1.085   1.122   1.177    1.22   1.292   1.366   1.431
    3.25   1.034   1.059   1.077    1.11   1.159   1.197   1.261   1.327   1.384
     3.5   1.031   1.054    1.07     1.1   1.144   1.179   1.236   1.295   1.346
    3.75   1.028   1.049   1.064   1.092   1.132   1.164   1.215   1.269   1.315
       4   1.026   1.046   1.059   1.085   1.122   1.151   1.198   1.247   1.289
     4.5   1.023    1.04   1.052   1.074   1.106   1.131   1.171   1.212   1.248
       5    1.02   1.035   1.046   1.065   1.093   1.115    1.15   1.186   1.217
       6   1.016   1.029   1.037   1.053   1.075   1.093   1.121    1.15   1.174
    -1.0
